player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
1115,"Kaufusi, Oregon",SHA,07,386300,01,GCT,,16,36,36,27,27,1.33,0.96,26,0,0,10,0,36,1.33,,0,0,0,0,0,0,0,14,0,6,0,4,0,0,0,0,0,10,2,71.4,0,0,0,0,0,0,0,0,36,,0,0,0,42.9,0,14.3,0,0,0,325800,386300,27,1,0,0,0,0,0,0,0,26,0,0,10,0,10731,0,0,0,46,72,,FRF,2026-04-29,2026
1116,"Kaufusi, Oregon",SHA,07,386300,02,PTH,,16,31,34,30,29,1.03,0.9,27,0,0,4,0,31,1.03,,0,0,0,0,0,0,0,21,-1,0,0,4,0,0,0,0,0,4,3,40.0,0,0,0,0,0,0,0,0,34,,0,0,0,0,4.5,20,0,0,0,325800,386300,29,2,0,2.5,0.07,0,0,0,0,27,0,0,4,0,11531,34,0,0,55,87,,FRF,2026-04-29,2026
1117,"Kaufusi, Oregon",SHA,07,359800,03,DOL,,16,24,30,21,26,1.14,0.95,20,0,0,6,-2,26,1.24,,0,0,0,0,0,0,0,12,0,0,0,4,2,0,0,0,0,4,4,33.3,0,0,0,0,-2,0,30,0,30,,0,0,0,0,0,33.3,-26500,-26500,0,325800,386300,26,3,0,4.92,0.16,0,0,0,0,20,0,0,6,-2,11993,28,26,0,60,77,,FRF,2026-04-29,2026
1118,"Kaufusi, Oregon",SHA,07,335200,04,CBR,,16,31,31,27,26,1.15,0.85,23,0,0,8,0,31,1.15,,0,0,0,0,0,0,0,20,-2,0,0,8,0,0,0,0,0,2,3,25.0,0,0,0,0,0,0,29,0,31,,0,0,0,0,9.1,50,-24600,-51100,0,325800,386300,26,4,0,4.27,0.14,0,0,0,0,23,0,0,8,0,11559,28,26,0,54,74,,FRF,2026-04-29,2026
1119,"Kaufusi, Oregon",SHA,07,319500,05,NZL,,16,34,31,35,28,0.97,0.97,34,0,0,0,0,34,0.97,,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,2,66.7,0,0,0,0,0,0,30,31,31,,0,0,0,0,0,0,-15700,-66800,0,325800,386300,28,5,0,4.07,0.13,0,0,0,0,34,0,0,0,0,10650,33,28,28,39,100,,FRF,2026-04-29,2026
1120,"Kaufusi, Oregon",SHA,07,319300,06,SYD,,16,39,33,26,28,1.5,1.08,28,3,4,4,0,32,1.23,,0,0,4,0,0,0,0,20,0,0,0,4,0,0,0,0,0,6,2,60.0,3,0,0,0,0,0,35,32,33,,0,0,0,0,0,20,-200,-67000,0,325800,386300,28,6,0,4.72,0.14,0,0,0,0,28,3,4,4,0,9123,37,29,28,31,72,,FRF,2026-04-29,2026
1121,"Kaufusi, Oregon",SHA,07,325800,08,NQC,,16,42,34,27,28,1.56,0.67,18,0,20,4,0,22,0.81,,0,12,0,0,0,0,0,12,-1,0,0,4,0,0,8,0,0,4,3,40.0,0,0,0,0,0,0,38,34,34,,0,0,0,0,7.7,20,6500,-60500,0,325800,386300,28,7,5.49,5.49,0.16,0.16,0,0,0,18,0,20,4,0,8574,41,29,27,28,43,,FRF,2026-04-29,2026
1122,"Kaufusi, Oregon",SHA,07,325800,Totals,,,,237,34,193,28,1.23,0.91,176,3,24,36,-2,212,1.10,30.29,0,12,4,0,0,0,0,123,-4,6,0,28,2,0,8,0,0,38,19,50.0,3,0,0,0,-2,0,38,34,0,,0,-0.3,-0.3,7.9,0,21.1,0,-60500,0,325800,386300,0,7,5.49,5.49,0.16,0.16,34,0,0,25,0,3,5,0,0,41,29,27,28,74,,FRF,2026-04-29,2026
1123,"Kautoga, Kitione",PAR,12,537900,01,MEL,,12,49,49,80,80,0.61,0.59,47,0,0,6,-4,53,0.66,,0,0,0,0,0,0,0,30,-3,2,0,4,0,0,0,0,0,14,6,53.8,0,0,0,0,-4,0,0,0,49,,0,0,0,7.7,9.1,7.7,0,0,0,579300,537900,80,1,0,0,0,0,0,0,0,47,0,0,6,-4,10978,0,0,0,67,89,,2RF,2026-04-29,2026
1124,"Kautoga, Kitione",PAR,12,537900,02,BRO,,12,42,46,80,80,0.53,0.48,38,0,0,8,-4,46,0.58,,0,0,0,0,0,0,0,21,-1,4,0,4,0,0,0,0,0,12,6,50.0,0,0,0,0,-4,0,0,0,46,,0,0,0,16.7,4.5,8.3,0,0,0,579300,537900,80,2,0,3.5,0.08,0,0,0,0,38,0,0,8,-4,11822,46,0,0,78,83,,2RF,2026-04-29,2026
